t,state,x,y,z,qw,qx,qy,qz,vx,vy,vz,fx,fy,fz
19.095,HOVER,-4.0,-4.0,1.565,1.0,0.0,0.0,-0.0,0.0,-0.0,-0.011,0.0,0.0,0.0
19.195,HOVER,-4.0,-4.0,1.564,1.0,0.0,0.0,-0.0,0.0,-0.0,-0.011,0.0,0.0,0.0
19.295,SCANNING,-4.0,-4.0,1.562,0.9996,-0.0,-0.0,0.0281,0.001,-0.011,-0.049,0.0,0.0,0.0
19.395,SCANNING,-4.0,-4.002,1.553,0.9947,-0.0,-0.0,0.1029,0.002,-0.011,-0.132,0.0,0.0,0.0
19.495,SCANNING,-4.0,-4.003,1.536,0.9842,-0.0,-0.0,0.1771,0.004,-0.011,-0.188,0.0,0.0,0.0
19.595,SCANNING,-3.999,-4.004,1.516,0.9682,-0.0,-0.0,0.2504,0.005,-0.01,-0.211,0.0,0.0,0.0
19.695,SCANNING,-3.998,-4.005,1.495,0.9467,-0.0,-0.0,0.3222,0.007,-0.009,-0.201,0.0,0.0,0.0
19.795,SCANNING,-3.998,-4.005,1.477,0.9199,0.0,-0.0,0.3922,0.008,-0.008,-0.163,0.0,0.0,0.0
19.895,SCANNING,-3.997,-4.006,1.464,0.8879,0.0,-0.0,0.46,0.009,-0.006,-0.104,0.0,0.0,0.0
19.995,SCANNING,-3.996,-4.007,1.457,0.8509,0.0,-0.0,0.5253,0.01,-0.005,-0.035,0.0,0.0,0.0
20.095,SCANNING,-3.995,-4.007,1.457,0.8092,0.0,-0.0,0.5876,0.011,-0.003,0.033,0.0,0.0,0.0
20.195,SCANNING,-3.994,-4.007,1.463,0.7629,0.0,-0.0,0.6465,0.011,-0.002,0.09,0.0,0.0,0.0
20.295,SCANNING,-3.993,-4.007,1.475,0.7123,0.0,-0.0,0.7019,0.011,-0.0,0.129,0.0,0.0,0.0
20.395,SCANNING,-3.991,-4.007,1.489,0.6577,0.0,-0.0,0.7533,0.011,0.002,0.146,0.0,0.0,0.0
20.495,SCANNING,-3.99,-4.007,1.503,0.5994,0.0,0.0,0.8004,0.011,0.003,0.139,0.0,0.0,0.0
20.595,SCANNING,-3.989,-4.007,1.516,0.5377,0.0,0.0,0.8431,0.01,0.005,0.113,0.0,0.0,0.0
20.695,SCANNING,-3.988,-4.006,1.525,0.4731,0.0,0.0,0.881,0.009,0.006,0.072,0.0,0.0,0.0
20.795,SCANNING,-3.987,-4.006,1.53,0.4057,0.0,0.0,0.914,0.008,0.008,0.025,0.0,0.0,0.0
20.895,SCANNING,-3.987,-4.005,1.53,0.3361,0.0,0.0,0.9418,0.007,0.009,-0.022,0.0,0.0,0.0
20.995,SCANNING,-3.986,-4.004,1.525,0.2646,0.0,0.0,0.9644,0.006,0.01,-0.062,0.0,0.0,0.0
21.095,SCANNING,-3.986,-4.003,1.518,0.1916,0.0,0.0001,0.9815,0.004,0.01,-0.089,0.0,0.0,0.0
21.195,SCANNING,-3.985,-4.002,1.508,0.1175,0.0,0.0001,0.9931,0.003,0.011,-0.101,0.0,0.0,0.0
